No,Original_Problem_No,Description,1,2,3,4,5,6,7,8,9
,Original number,,20,12,93,8,35,7,59,15,43
,Original*(30/99),,6.060606061,3.636363636,28.18181818,2.424242424,10.60606061,2.121212121,17.87878788,4.545454545,13.03030303
,Selected,,6,4,28,2,11,2,18,5,13
1,59,"A software company has UI designers earning $2500 per week and software engineers earning $2000 per week. The contracts with companies to provide cloud services require at least 50 workers, of whom at least 10 must be software engineers. To make sure there is enough experience on the team, the number of software engineers should be at least a third of the number to UI designers. The company wants to keep the weekly wage bill below $200000. Formulate an LP problem to minimize the wage bill.",,,1,,1,1,,,1
2,42,"A furniture store only stocks and sells dining tables and chairs. The profit per dining table is $350 and the profit per chair is $75. There is 500 sq ft of space available and a dining table requires 8 sq ft of floor space while a chair requires 2 sq ft. Because chairs sell in larger quantities, at least 70% of all furniture in the store must be chairs. In terms of capital, a dining table ties up $1000 in capital and a chair ties up $150 in capital. The company wants a maximum of $20000 worth of capital tied up at any time. Formulate an LP to maximize profit.",,,2,,,,,1,
3,80,"A tourism company is expecting an increase in tourists after a pandemic and expects 10000 customers in the coming month. The tourism company can either use a minivan which can transport 6 tourists and profits the company $300 each time. They can also use a tourism bus which can transport 30 tourists and profits the company $1800 each time. There must be at least 10 tourism buses in the coming month because many come in large groups. Additionally, due to the close proximity to the tour guide, the tourism company plans to have at least 45% of the trips be by minivan to improve customer service. How many trips of each type of vehicle should be scheduled to maximize the total profit for the company?",,,,,1,,1,1,
4,78,"Professor ABC sells his economics textbook as paperback or hardcover versions. Paperback books yield a profit of $150 USD whereas hardcover versions yield a profit of $200 USD. Since hardcover versions are more sturdy and contain some extra supplementary materials, there must be at least three times as many hardcover than paperback textbooks. However, because paperback books are less expensive, at least 100 paperback versions must be created. If the professor sells at least 1000 textbooks every year, how many of each version should he request the publisher to print to maximize the profit?",,,,,1,1,,,1
5,29,"A grocery store sushi supplier makes sushi in bulk and can purchase either an all-in-one manufacturing line or a decoupled manufacturing line. The all-in-one manufacturing line is more efficient and can output 10000 orders per day while the decoupled manufacturing line can output 7000 items per day. The all-in-one manufacturing line requires 5 workers per day while the decoupled manufacturing line requires 10 workers per day. The grocery store sushi supplier must be able to satisfy at least 150000 orders per day and has allocated a budget to hire 135 workers. Since the decoupled manufacturing line is less efficient, at most 35% of the production can be decoupled manufacturing lines. However, there are some legacy factories remaining that already have decoupled manufacturing lines and about 10% of workers are trained on these older methods. Therefore, at least 10% must be decoupled manufacturing lines. How many of each manufacturing line should the sushi supplier plan for to reduce the total number of manufacturing lines?",,,1,1,,,1,1,
6,4,"A food distributer can either move their product using trucks or boats. A truck can take 30 units of product and produces 80 units of pollution per trip whereas boats take 50 units of product and produces 60 units of pollution per trip. The food distributer needs to move 1000 units of product and must have a maximum of 40% of the trips using boats due to limitations of sea transportation regulations. Additionally, there must be at least 10 trips using a truck. How many of each form of transportation should be used to minimize the total amount of pollution produced?",,,,1,1,,1,,
7,24,"A strawberry farmer has available 225 hectares of land and she needs to harvest the strawberries either through employees or U-pick. For each hectare of land, employees can hand-pick 60 lbs of strawberries which creates 5 lbs of waste, and takes 30 minutes. Conversely, for each hectare of land, opening the farm for U-pick can pick 45 lbs of strawberries which creates 20 lbs of waste, but only takes 20 minutes. The farmer has a maximum amount of people allowed on the field at all times and due to the restriction of trying to sell the product while it is still fresh, expects that at maximum capacity she only has 8000 minutes available for picking. Additionally, there can be at most 6400 lbs of waste. How many hectares should be allocated to each harvesting technique to maximize the amount of strawberries that can be picked?",,1,2,,,,,,
8,26,"A famous chocolate shop is expecting a lot of orders because of an upcoming holiday. The chocolate shop is famous for selling two products, large boxes of chocolates, or small boxes of chocolates. A large box of chocolate has 24 individual chocolates while a small box of chocolate has 12 individual chocolates. The chocolate shop has a delivery service, and each trip, the shop owner can prepare ahead of time at most 110 large boxes of chocolates or 150 small boxes of chocolates. Due to space limitations of their truck, the truck can fit at most 90 total boxes of chocolates and because of a sale, there must be at least 10 large boxes of chocolates. However, small boxes of chocolates are less expensive and the shop owner expects to move at least three times as many small boxes of chocolates than large boxes of chocolates. How many of each size of chocolate box should the shop owner put in their truck for each trip to maximize the total number of individual chocolates transported to their customers?",2,1,,,1,,,,1
9,32,"A commercial fishing company has available 200 square kilometers of water that they can fish from. They can either allocate a square kilometer for fish farming or trawling. For each square kilometer of ocean, fish farming causes 8 units of pollution and nets 4 tons of fish and requires 6 workers every day. For each square kilometer of ocean, trawling causes 10 units of pollution, nets 3 tons of fish and requires 2 workers every day. Due to environmental regulations, there must be at most 1700 units of pollution and the company has available 500 workers daily. Find the proportion of lands that use each fishing technique to maximize the daily yield of fish.",,1,2,,,,,,
